Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Meeting_Name,Day,Start,End,Type
Philomathist Center,1285 Madison Avenue,New York,NY,10128,"Philomathist Center,1285 Madison Avenue,10128",men's nyc big book step study,Wednesdays,7:00 PM,8:30 PM,BB
St. Ignatius Loyola School,48 East 84th Street,New York,NY,10028,"St. Ignatius Loyola School,48 East 84th Street,Betw Madison & Park Avenues,On Saturday enter via Park Avenue Entrance,NY 10028",metropolitan,Saturdays,3:15 PM,4:15 PM,S
St. Ignatius Loyola School,48 East 84th Street,New York,NY,10028,"St. Ignatius Loyola School,48 East 84th Street,Betw Madison & Park Avenues,On Saturday enter via Park Avenue Entrance,NY 10028",metropolitan,Sundays,6:15 PM,7:15 PM,B
St. Ignatius Loyola School,48 East 84th Street,New York,NY,10028,"St. Ignatius Loyola School,48 East 84th Street,Betw Madison & Park Avenues,On Saturday enter via Park Avenue Entrance,NY 10028",metropolitan,Tuesdays,6:30 PM,7:30 PM,undefined
St. Ignatius Loyola School,48 East 84th Street,New York,NY,10028,"St. Ignatius Loyola School,48 East 84th Street,Betw Madison & Park Avenues,On Saturday enter via Park Avenue Entrance,NY 10028",metropolitan,Sundays,7:30 PM,8:30 PM,S
St. Ignatius Loyola School,48 East 84th Street,New York,NY,10028,"St. Ignatius Loyola School,48 East 84th Street,Betw Madison & Park Avenues,On Saturday enter via Park Avenue Entrance,NY 10028",metropolitan,Tuesdays,7:45 PM,8:45 PM,B
St. Stephen of Hungary Church,408 East 82nd Street,New York,NY,10028,"St. Stephen of Hungary Church,408 East 82nd Street,Rectory,Betw 1st & York Avenues,NY 10028",monday east topic,Mondays,7:00 PM,8:00 PM,C
Congregational Kehilath Jeshurun,125 East 85th Street,New York,NY,10028,"Congregational Kehilath Jeshurun,125 East 85th Street,Ramaz School Entrance,@ Lexington Avenue,NY 10028",new choices,Mondays,6:30 PM,7:30 PM,C
Congregational Kehilath Jeshurun,125 East 85th Street,New York,NY,10028,"Congregational Kehilath Jeshurun,125 East 85th Street,Ramaz School Entrance,@ Lexington Avenue,NY 10028",new choices,Wednesdays,6:30 PM,7:30 PM,S
St. James Church,865 Madison Avenue,New York,NY,10021,"St. James Church,865 Madison Avenue,3rd Floor,Betw. 71st & 72nd Streets,10021",park bench   (:ii),Wednesdays,12:30 PM,1:30 PM,C
